清洗后名称,标准名称,部位（一级）,部位（二级）,部位,检查方式,特征,性别
下腹部DR,（下腹部）DR,腹,,下腹部,DR,,
下腹部核磁共振(孕者禁),（下腹部）MRI,腹,,下腹部,MRI,,
上腹部螺旋CT平扫打片2张不打折,（上腹部）CT,腹,,上腹部,CT,螺旋,
全腹CT,（腹）CT,腹,,腹,CT,,
上腹部彩超(含双肾),（上腹部||肾）彩超,腹,,上腹部||肾,彩超,,
上腹部彩超(含双肾需保持空腹),（上腹部||肾）彩超,腹,,上腹部||肾,彩超,,
彩超(子宫及双侧附件经腹)?女),（子宫|附件）彩超,腹,,子宫|附件,彩超,,女
上腹部(MRI),（上腹部）MRI,腹,,上腹部,MRI,,
腹部DR,（腹）DR,腹,,腹,DR,,
彩超(肝胆脾空腹),（肝|胆|脾）彩超,腹,,肝|胆|脾,彩超,,
?腹部彩超(肝|胆|脾|双肾)需空腹,（腹||肝|胆|脾|肾）彩超,腹,,腹||肝|胆|脾|肾,彩超,,
CT检查(腹部)(两张片),（腹）CT,腹,,腹,CT,,
腹部超声(男)(肝胆胰脾双肾|膀胱|前列腺),（腹||肝|胆|脾|肾|胰|膀胱|前列腺）超声,腹,,腹||肝|胆|脾|肾|胰|膀胱|前列腺,超声,,男
彩超腹部,（腹）彩超,腹,,腹,彩超,,
B超检查(腹部B超),（腹）B超,腹,,腹,B超,,
子宫|附件经腹(加收),（子宫|附件）超声,腹,,子宫|附件,超声,,
彩超腹部(肝|胆|脾|肾|胰),（腹||肝|胆|脾|肾|胰）彩超,腹,,腹||肝|胆|脾|肾|胰,彩超,,
彩超:腹部+妇科(团体),（腹）彩超,腹,,腹,彩超,,
CT(中腹部),（中腹部）CT,腹,,中腹部,CT,,
妇科腹部黑白B超(子宫|附件),（腹||子宫|附件）B超,腹,,腹||子宫|附件,B超,,
VIP-上腹部CT,（上腹部）CT,腹,,上腹部,CT,,
腹部彩超(?胆脾胰)-无图文,（腹||胆|脾|胰）彩超,腹,,腹||胆|脾|胰,彩超,,
中腹部MRI(电子影像),（中腹部）MRI,腹,,中腹部,MRI,,
上腹CT(16电子影像),（上腹部）CT,腹,,上腹部,CT,16排,
彩超(子宫及?侧附件经腹)(女),（子宫|附件）彩超,腹,,子宫|附件,彩超,,女
上腹CT(64电子影像),（上腹部）CT,腹,,上腹部,CT,,
腹部CT不出片((新),（腹）CT,腹,,腹,CT,,
上?部彩超(肝|胆|脾|双肾)需空腹,（肝|胆|脾|肾）彩超,腹,,肝|胆|脾|肾,彩超,,
妇科腹部彩超常规检查,（腹）彩超,腹,,腹,彩超,,
上腹部彩超(?|胆|脾|胰|双肾)需空腹,（上腹部||胆|脾|胰|肾）彩超,腹,,上腹部||胆|脾|胰|肾,彩超,,
腹部彩超(肝胆脾?)-图文,（腹||肝|胆|脾）彩超,腹,,腹||肝|胆|脾,彩超,,
腹部彩超(?胆脾胰)-图文,（腹||胆|脾|胰）彩超,腹,,腹||胆|脾|胰,彩超,,
VIP-妇科彩超(经腹),（腹）彩超,腹,,腹,彩超,,
腹部彩超常规,（腹）彩超,腹,,腹,彩超,,
腹?彩超(肝胆脾胰)-无图文,（腹||肝|胆|脾|胰）彩超,腹,,腹||肝|胆|脾|胰,彩超,,
上腹部超声?B),（上腹部）超声,腹,,上腹部,超声,,
MRI中腹,（中腹部）MRI,腹,,中腹部,MRI,,
上腹部CT(3楼CT室),（上腹部）CT,腹,,上腹部,CT,,
腹?彩超(肝胆脾胰)-图文,（腹||肝|胆|脾|胰）彩超,腹,,腹||肝|胆|脾|胰,彩超,,
上腹部MRI(电子影像),（上腹部）MRI,腹,,上腹部,MRI,,
上腹部彩超(肝|?|脾|胰|双肾)需空腹,（上腹部||肝|脾|胰|肾）彩超,腹,,上腹部||肝|脾|胰|肾,彩超,,
上腹部超柳(B),（上腹部）超声,腹,,上腹部,超声,,
核磁上腹部,（上腹部）MRI,腹,,上腹部,MRI,,
核磁检查上腹(MRI),（上腹部）MRI,腹,,上腹部,MRI,,
CT全腹平扫,（腹）CT,腹,,腹,CT,,
胆囊彩超,（胆囊）彩超,腹,胆,胆囊,彩超,,
胆囊B超,（胆囊）B超,腹,胆,胆囊,B超,,
(外)胆囊彩超,（胆囊）彩超,腹,胆,胆囊,彩超,,
KS胆彩超,（胆）彩超,腹,胆,胆,彩超,,
胆囊B超(无图文),（胆囊）B超,腹,胆,胆囊,B超,,
彩超一项(胆),（胆）彩超,腹,胆,胆,彩超,,
K胆囊彩超,（胆囊）彩超,腹,胆,胆囊,彩超,,
胆|胰|双肾彩超,（胆|肾|胰）彩超,腹,,胆|肾|胰,彩超,,
胆彩超,（胆）彩超,腹,胆,胆,彩超,,
彩超(胆囊),（胆囊）彩超,腹,胆,胆囊,彩超,,
彩超检查(胆囊),（胆囊）彩超,腹,胆,胆囊,彩超,,
彩超(胆),（胆）彩超,腹,胆,胆,彩超,,
平安人寿彩超(胆),（胆）彩超,腹,胆,胆,彩超,,
超柳(腹部),（腹）超声,腹,,腹,超声,,
KS胆彩超-无图文,（胆）彩超,腹,胆,胆,彩超,,
单脏器超声(胆囊)-无图文,（胆囊）超声,腹,胆,胆囊,超声,,
E超,E超,,,,E超,,
超声检查(肝?肾),（肝|肾）超声,腹,,肝|肾,超声,,
超声检查(?胆肾),（胆|肾）超声,腹,,胆|肾,超声,,
?部彩超,彩超,腹,,,彩超,,
肝胆脾胰肾?声,（肝|胆|脾|肾|胰）超声,腹,,肝|胆|脾|肾|胰,超声,,
彩超?肝胆胰脾双肾),（肝|胆|脾|肾|胰）彩超,腹,,肝|胆|脾|肾|胰,彩超,,
肝胆脾胰肾超柳,（肝|胆|脾|肾|胰）超声,腹,,肝|胆|脾|肾|胰,超声,,
肝胆胰脾?超,（肝|胆|脾|胰）超声,腹,,肝|胆|脾|胰,超声,,
肝胆胰?彩超,（肝|胆|胰）彩超,腹,,肝|胆|胰,彩超,,
女性彩超(肝胆胰脾泌尿系子宫附件),（肝|胆|脾|胰|泌尿生殖系统|子宫|附件）彩超,腹,,肝|胆|脾|胰|泌尿生殖系统|子宫|附件,彩超,,女
上?部超声,超声,腹,,,超声,,
阴超,（阴道）阴超,生殖系统,阴道,阴道,阴超,,
超声检?(肝胆肾),（肝|胆|肾）超声,腹,,肝|胆|肾,超声,,
(AM)CT头部(不出片),（头）CT,头部,,头,CT,,
(AM)CT腰椎检查(不出片),（腰椎）CT,腰部,腰椎,腰椎,CT,,
(AM)CT颈椎检查(不出片),（颈椎）CT,,颈椎,颈椎,CT,,
(AM)CT髋关节检查(不出片),（髋关节）CT,骨盆,髋关节,髋关节,CT,,
(下午)双肾CT出片,（肾）CT,腹部,肾,肾,CT,,
腰椎CT检查,（腰椎）CT,腰部,腰椎,腰椎,CT,,
颈椎CT检查,（颈椎）CT,,颈椎,颈椎,CT,,
128层双肾CT(不出片),（肾）CT,腹部,肾,肾,CT,,
128层肝胆脾CT(不出片),（肝|胆|脾）CT,下腹部,,肝|胆|脾,CT,,
128层腰椎CT(不出片),（腰椎）CT,腰部,腰椎,腰椎,CT,,
128层颅脑CT(不出片),（颅脑）CT,头部,脑,颅脑,CT,,
128层颅脑CT(贵宾),（颅脑）CT,头部,脑,颅脑,CT,,
128层颈椎CT(不出片),（颈椎）CT,,颈椎,颈椎,CT,,
16排CT双肾不出片,（肾）CT,腹部,肾,肾,CT,16排,
16排CT平扫(不含片),CT,,,,CT,16排,
16排CT盆腔不出片,（盆腔）CT,盆腔,,盆腔,CT,16排,
16排CT肝胆脾不出片,（肝|胆|脾）CT,下腹部,,肝|胆|脾,CT,16排,
16排CT肩关节不出片,（肩关节）CT,,肩关节,肩关节,CT,16排,
16排CT腰部不出片,（腰）CT,腰部,,腰,CT,16排,
16排CT膝关节不出片,（膝关节）CT,,膝关节,膝关节,CT,16排,
16排CT颈椎不出片,（颈椎）CT,,颈椎,颈椎,CT,16排,
2018颈部CT,（颈部）CT,颈部,,颈部,CT,,
2019右膝关节CT,（右膝关节）CT,,膝关节,右膝关节,CT,,
2019右膝关节CT(不含片),（右膝关节）CT,,膝关节,右膝关节,CT,,
2019腰椎CT,（腰椎）CT,腰部,腰椎,腰椎,CT,,
2019颈部CT,（颈部）CT,颈部,,颈部,CT,,
2019颈部CT(不含片),（颈部）CT,颈部,,颈部,CT,,
32层螺旋CT双肾(不出片),（肾）CT,腹部,肾,肾,CT,螺旋,
32层螺旋CT扫描每部位(不出片),CT,,,,CT,螺旋,
32层螺旋CT扫颈椎CT(不出片),（颈椎）CT,,颈椎,颈椎,CT,螺旋,
32层螺旋CT腰椎CT(不含片),（腰椎）CT,腰部,腰椎,腰椎,CT,螺旋,
64排CT冠脉平扫,（冠脉）CT,,冠状动脉,冠脉,CT,64排,
64排CT副鼻窦不出片,（副鼻窦）CT,耳鼻喉,鼻,副鼻窦,CT,64排,
64排CT双肾不出片,（肾）CT,腹部,肾,肾,CT,64排,
64排CT盆腔不出片,（盆腔）CT,盆腔,,盆腔,CT,64排,
64排CT腰椎不出片,（腰椎）CT,腰部,腰椎,腰椎,CT,64排,
64排CT膝关节不出片,（膝关节）CT,,膝关节,膝关节,CT,64排,
64排CT颈椎,（颈椎）CT,,颈椎,颈椎,CT,64排,
64排CT颈椎不出片,（颈椎）CT,,颈椎,颈椎,CT,64排,
64排CT颈椎(不出片),（颈椎）CT,,颈椎,颈椎,CT,64排,
CT(副鼻窦),（副鼻窦）CT,耳鼻喉,鼻窦,副鼻窦,CT,,
CT(双侧肾脏),（肾）CT,腹部,肾,肾,CT,,
CT(右肩关节),（右肩关节）CT,,肩关节,右肩关节,CT,,
CT(右膝)(不出片),（右膝）CT,,膝关节,右膝,CT,,
CT(右膝关节),（右膝关节）CT,,膝关节,右膝关节,CT,,
CT(右髋关节)(不含片),（右髋关节）CT,骨盆,髋关节,右髋关节,CT,,
CT(左髋关节)(不含片),（左髋关节）CT,骨盆,髋关节,左髋关节,CT,,
CT(换部位),CT,,,,CT,,
CT(盆腔),（盆腔）CT,盆腔,,盆腔,CT,,
CT(耳部),（耳）CT,耳鼻喉,耳,耳,CT,,
CT(肘关节),（肘关节）CT,,肘关节,肘关节,CT,,
CT(肩部),（肩）CT,,肩关节,肩,CT,,
CT(腰椎),（腰椎）CT,腰部,腰椎,腰椎,CT,,
CT(腰椎间盘),（腰椎）CT,腰部,腰椎间盘,腰椎,CT,,
CT(腰部),（腰）CT,腰部,,腰,CT,,
CT(腰部)-不出片,（腰）CT,腰部,,腰,CT,,
CT(膝关节),（膝关节）CT,,膝关节,膝关节,CT,,
CT(踝关节),（踝关节）CT,足部,踝关节,踝关节,CT,,
CT(颅脑)(不出片),（颅脑）CT,头部,脑,颅脑,CT,,
CT(颈椎),（颈椎）CT,,颈椎,颈椎,CT,,
CT(颈椎)(建议怀备孕人士不做),（颈椎）CT,,颈椎,颈椎,CT,,
CT(颈椎间盘),（颈椎间盘）CT,颈椎,椎间盘,颈椎间盘,CT,,
CT(颈部),（颈部）CT,颈部,,颈部,CT,,
CT(飞利浦)(单膝),（膝）CT,,膝关节,膝,CT,,
CT(飞利浦)(腰椎),（腰椎）CT,腰部,腰椎,腰椎,CT,,
CT-(T)腰椎(不含片),（腰椎）CT,腰部,腰椎,腰椎,CT,,
CT-(T)腰椎1(不含片),（腰椎）CT,腰部,腰椎,腰椎,CT,,
CT-(T)腰椎2(不含片),（腰椎）CT,腰部,腰椎,腰椎,CT,,
CT-(T)颈椎(不含片),（颈椎）CT,,颈椎,颈椎,CT,,
CT-(T)颈椎(含片),（颈椎）CT,,颈椎,颈椎,CT,,
CT-(T)颈椎1(不含片),（颈椎）CT,,颈椎,颈椎,CT,,
CT-副鼻窦,（副鼻窦）CT,耳鼻喉,鼻,副鼻窦,CT,,
CT-副鼻窦平扫,（副鼻窦）CT,耳鼻喉,鼻,副鼻窦,CT,,
CT-加片,CT,,,,CT,,
CT-单侧股骨平扫,（股骨）CT,骨盆,股骨,股骨,CT,,
CT-单侧膝关节平扫,（膝关节）CT,,膝关节,膝关节,CT,,
CT-单侧髋关节平扫,（髋关节）CT,骨盆,髋关节,髋关节,CT,,
CT-单膝关节(不含片),（膝关节）CT,,膝关节,膝关节,CT,,
CT-双膝关节,（膝关节）CT,,膝关节,膝关节,CT,,
CT-双膝关节(不含片),（膝关节）CT,,膝关节,膝关节,CT,,
CT-双膝关节(含片),（膝关节）CT,,膝关节,膝关节,CT,,
CT-右肩关节(含片),（右肩关节）CT,,肩关节,右肩关节,CT,,
CT-右膝关节,（右膝关节）CT,,膝关节,右膝关节,CT,,
CT-右膝关节(不含片),（右膝关节）CT,,膝关节,右膝关节,CT,,
CT-右膝关节(含片),（右膝关节）CT,,膝关节,右膝关节,CT,,
CT-右踝关节,（右踝关节）CT,足部,踝关节,右踝关节,CT,,
CT-右髋关节,（右踝关节）CT,骨盆,髋关节,右踝关节,CT,,
CT-左右肘关节,（左肘关节|右肘关节）CT,,肘关节,左肘关节|右肘关节,CT,,
CT-左右肩关节,（左肘关节|右肘关节）CT,,肩关节,左肘关节|右肘关节,CT,,
CT-左肩关节,（左肩关节）CT,,肩关节,左肩关节,CT,,
CT-左肩关节(含片),（左肩关节）CT,,肩关节,左肩关节,CT,,
CT-左膝关节,（左膝关节）CT,,膝关节,左膝关节,CT,,
CT-左膝关节(不含片),（左膝关节）CT,,膝关节,左膝关节,CT,,
CT-左膝关节(含片),（左膝关节）CT,,膝关节,左膝关节,CT,,
CT-左踝关节,（左踝关节）CT,足部,踝关节,左踝关节,CT,,
CT-左髋关节,（左髋关节）CT,骨盆,髋关节,左髋关节,CT,,
CT-盆腔(不含片),（盆腔）CT,盆腔,,盆腔,CT,,
CT-肘关节,（肘关节）CT,,肘关节,肘关节,CT,,
CT-肩关节平扫,（肩关节）CT,,肩关节,肩关节,CT,,
CT-腰椎,（腰椎）CT,腰部,腰椎,腰椎,CT,,
CT-腰椎(不含片),（腰椎）CT,腰部,腰椎,腰椎,CT,,
CT-腰椎(含2张片),（腰椎）CT,腰部,腰椎,腰椎,CT,,
CT-腰椎平扫,（腰椎）CT,腰部,腰椎,腰椎,CT,,
CT-腰椎间盘(不含片),（腰椎）CT,腰部,腰椎间盘,腰椎,CT,,
CT-腰椎(不出片),（腰椎）CT,腰部,腰椎,腰椎,CT,,
CT-颅脑(不含片),（颅脑）CT,头部,脑,颅脑,CT,,
CT-颅脑普通平扫,（颅脑）CT,头部,脑,颅脑,CT,,
CT-颅脑(含片),（颅脑）CT,头部,脑,颅脑,CT,,
CT-颈椎,（颈椎）CT,,颈椎,颈椎,CT,,
CT-颈椎CT,（颈椎）CT,,颈椎,颈椎,CT,,
CT-颈椎平扫,（颈椎）CT,,颈椎,颈椎,CT,,
CT-颈椎(不出片),（颈椎）CT,,颈椎,颈椎,CT,,
CT-颈部平扫,（颈部）CT,颈部,,颈部,CT,,
CT-颈部(含片),（颈部）CT,颈部,,颈部,CT,,
CT-骨盆(不含片),（骨盆）CT,,骨盆,骨盆,CT,,
CT-骶尾骨,（骶尾骨）CT,骨盆,骶尾骨,骶尾骨,CT,,
CT-骶尾骨(不出片),（骶尾骨）CT,骨盆,骶尾骨,骶尾骨,CT,,
CT-骶椎,（骶椎）CT,骨盆,骶椎骨,骶椎,CT,,
CT-骶髂关节(含片),（骶髂关节）CT,骨盆,骶髂关节,骶髂关节,CT,,
CT-髋关节,（髋关节）CT,骨盆,髋关节,髋关节,CT,,
CT-髋关节(不含片),（髋关节）CT,骨盆,髋关节,髋关节,CT,,
CT-鼻咽部(不出片),（鼻|咽）CT,耳鼻喉,,鼻|咽,CT,,
CT-鼻窦(含片),（鼻窦）CT,耳鼻喉,鼻,鼻窦,CT,,
CT/部位(不含片),CT,任一,,,CT,,
CT一部位含出片,CT,任一,,,CT,,
CT三维重建(含出片),CT,,,,CT,,
CT下午查,CT,,,,CT,,
CT任一部位(DE),CT,任一,,,CT,,
CT任一部位(优惠加项专用),CT,任一,,,CT,,
CT任一部位(赠送),CT,任一,,,CT,,
CT任一部位(0)(不出片|怀孕备孕禁忌),CT,任一,,,CT,,
CT任意一部位,CT,任一,,,CT,,
CT任意部位(不含片),CT,任一,,,CT,,
CT内听道,（内听道）CT,耳鼻喉,内听道,内听道,CT,,
CT内耳不出片,（内耳）CT,耳鼻喉,内耳,内耳,CT,,
CT出片,CT,,,,CT,,
CT出片1张,CT,,,,CT,,
CT出片2张,CT,,,,CT,,
CT制片费100,CT,,,,CT,,
CT制片费50,CT,,,,CT,,
CT刻盘,CT,,,,CT,,
CT副鼻窦,（副鼻窦）CT,耳鼻喉,鼻,副鼻窦,CT,,
CT副鼻窦(不出片),（副鼻窦）CT,耳鼻喉,鼻,副鼻窦,CT,,
CT副鼻窦CT,（副鼻窦）CT,耳鼻喉,鼻,副鼻窦,CT,,
CT副鼻窦不出片,（副鼻窦）CT,耳鼻喉,鼻,副鼻窦,CT,,
CT副鼻窦平扫,（副鼻窦）CT,耳鼻喉,鼻,副鼻窦,CT,,
CT副鼻窦扫描,（副鼻窦）CT,耳鼻喉,鼻,副鼻窦,CT,,
CT副鼻窦扫描(不含片),（副鼻窦）CT,耳鼻喉,鼻,副鼻窦,CT,,
CT副鼻窦检查,（副鼻窦）CT,耳鼻喉,鼻,副鼻窦,CT,,
CT副鼻窦检查(不出片)(省),（副鼻窦）CT,耳鼻喉,鼻,副鼻窦,CT,,
CT副鼻窦检查(不含片),（副鼻窦）CT,耳鼻喉,鼻,副鼻窦,CT,,
CT副鼻窦检查(不含片)(省),（副鼻窦）CT,耳鼻喉,鼻,副鼻窦,CT,,
CT副鼻窦(升级)(不出片),（副鼻窦）CT,耳鼻喉,鼻,副鼻窦,CT,,
CT单侧肩关节,（肩关节）CT,,肩关节,肩关节,CT,,
CT单独出片(每片),CT,,,,CT,,
CT单足部螺旋扫描,（足）CT,足部,,足,CT,螺旋,
CT单部位(不出片),CT,,任一,,CT,,
CT单部位检查,CT,,任一,,CT,,
CT单部位肘关节平扫,（肘关节）CT,,肘关节,肘关节,CT,,
CT单部位(出片),CT,,任一,,CT,,
CT单部位:64排(不出片),CT,,任一,,CT,64排,
CT卡(含片),CT,,,,CT,,
CT双侧膝关节(左),（膝关节）CT,,膝关节,膝关节,CT,,
CT双侧髋关节扫描,（髋关节）CT,骨盆,髋关节,髋关节,CT,,
CT双耳平扫,（耳）CT,耳鼻喉,耳,耳,CT,,
CT双肾,（肾）CT,腹部,肾,肾,CT,,
CT双肾(不出片),（肾）CT,腹部,肾,肾,CT,,
CT双膝关节,（膝关节）CT,,膝关节,膝关节,CT,,
CT双膝关节CT,（膝关节）CT,,膝关节,膝关节,CT,,
CT双膝关节检查,（膝关节）CT,,膝关节,膝关节,CT,,
CT双膝扫描,（膝）CT,,膝关节,膝,CT,,
CT双足平扫,（足）CT,足部,,足,CT,,
CT双踝平扫,（踝）CT,足部,踝关节,踝,CT,,
CT双髋关节,（髋关节）CT,骨盆,髋关节,髋关节,CT,,
CT双髋关节(不出片),（髋关节）CT,骨盆,髋关节,髋关节,CT,,
CT双髋关节检查(不含片),（髋关节）CT,骨盆,髋关节,髋关节,CT,,
CT双髋关节(骨盆)平扫,（髋关节）CT,骨盆,髋关节,髋关节,CT,,
CT右侧膝关节检查(不含片),（右膝关节）CT,,膝关节,右膝关节,CT,,
CT右肩关节(四楼CT/MRI室),（右肩关节）CT,,右肩关节,右肩关节,CT,,
CT右肩关节三维(不含片),（右肩关节）CT,,肩关节,右肩关节,CT,,
CT右肩关节扫描,（右肩关节）CT,,肩关节,右肩关节,CT,,
CT右肩关节(不出片),（右肩关节）CT,,肩关节,右肩关节,CT,,
CT右膝关节,（右膝关节）CT,,膝关节,右膝关节,CT,,
CT右膝关节平扫,（右膝关节）CT,,膝关节,右膝关节,CT,,
CT右膝关节扫描,（右膝关节）CT,,膝关节,右膝关节,CT,,
CT右膝关节扫描(不含片),（右膝关节）CT,,膝关节,右膝关节,CT,,
CT右膝关节(不含片),（右膝关节）CT,,膝关节,右膝关节,CT,,
CT右足扫描(不含片),（右足）CT,足部,,右足,CT,,
CT右踝关节(不出片),（右踝关节）CT,足部,踝关节,右踝关节,CT,,
CT右髋关节扫描(不含出片),（右髋关节）CT,骨盆,髋关节,右髋关节,CT,,
CT右髋关节扫描(不含片),（右髋关节）CT,骨盆,髋关节,右髋关节,CT,,
CT咽喉检查(不含片)(省),（咽喉）CT,耳鼻喉,咽喉,咽喉,CT,,
CT咽喉(不出片),（咽喉）CT,耳鼻喉,咽喉,咽喉,CT,,
CT喉部,（喉）CT,耳鼻喉,咽喉,喉,CT,,
CT增加部位(盆腔),（盆腔）CT,盆腔,,盆腔,CT,,
CT增加部位(肝脏),（肝）CT,下腹部,肝,肝,CT,,
CT增加部位(腰椎),（腰椎）CT,腰部,腰椎,腰椎,CT,,
CT增加部位(颈椎),（颈椎）CT,,颈椎,颈椎,CT,,
CT女性盆腔扫描(不含片),（盆腔）CT,盆腔,,盆腔,CT,,女
CT尺桡骨(单侧),（尺桡骨）CT,尺桡骨,,尺桡骨,CT,,
CT左侧肘关节,（左肘关节）CT,,肘关节,左肘关节,CT,,
CT左侧膝关节平扫,（左膝关节）CT,,膝关节,左膝关节,CT,,
CT左侧膝关节检查(不含片),（左膝关节）CT,,膝关节,左膝关节,CT,,
CT左肘关节,（左肘关节）CT,,肘关节,左肘关节,CT,,
CT左肩关节,（左肩关节）CT,,肩关节,左肩关节,CT,,
CT左肩关节(四楼CT/MRI室),（左肩关节）CT,,左肩关节,左肩关节,CT,,
CT左肩关节三维(不含片),（左肩关节）CT,,肩关节,左肩关节,CT,,
CT左肩关节扫描,（左肩关节）CT,,肩关节,左肩关节,CT,,
CT左肩关节(不出片),（左肩关节）CT,,肩关节,左肩关节,CT,,
CT左膝关节(四楼CT/MRI室),（左膝关节）CT,,左膝关节,左膝关节,CT,,
CT左膝关节扫描,（左膝关节）CT,,膝关节,左膝关节,CT,,
CT左膝关节扫描(不含片),（左膝关节）CT,,膝关节,左膝关节,CT,,
CT左膝关节(不出片),（左膝关节）CT,,膝关节,左膝关节,CT,,
CT左膝关节(不含片),（左膝关节）CT,,膝关节,左膝关节,CT,,
CT左足扫描(不含出片),（左足）CT,足部,,左足,CT,,
CT左踝关节扫描,（左踝关节）CT,足部,踝关节,左踝关节,CT,,
CT左踝关节检查,（左踝关节）CT,足部,踝关节,左踝关节,CT,,
CT左髋关节扫描(不含出片),（左髋关节）CT,骨盆,髋关节,左髋关节,CT,,
CT左髋关节(不出片),（左髋关节）CT,骨盆,髋关节,左髋关节,CT,,
CT平扫(副鼻窦),（副鼻窦）CT,耳鼻喉,鼻,副鼻窦,CT,,
CT平扫(双膝关节),（膝关节）CT,,膝关节,膝关节,CT,,
CT平扫(小腿),（小腿）CT,,小腿,小腿,CT,,
CT平扫(左膝关节),（左膝关节）CT,,膝关节,左膝关节,CT,,
CT平扫(盆腔),（盆腔）CT,盆腔,,盆腔,CT,,
CT平扫(肝脏),（肝）CT,下腹部,肝,肝,CT,,
CT平扫(肩关节),（肩关节）CT,,肩关节,肩关节,CT,,
CT平扫(肾上腺),（肾）CT,腹部,肾上腺,肾,CT,,
CT平扫(肾脏),（肾）CT,腹部,肾,肾,CT,,
CT平扫(胆囊),（胆囊）CT,,,胆囊,CT,,
CT平扫(胰腺),（胰）CT,下腹部,胰腺,胰,CT,,
CT平扫(腰部),（腰）CT,腰部,,腰,CT,,
CT平扫(舌下腺),（舌下腺）CT,口腔,舌,舌下腺,CT,,
CT平扫(踝关节),（踝关节）CT,足部,踝关节,踝关节,CT,,
CT平扫(髋关节),（髋关节）CT,骨盆,髋关节,髋关节,CT,,
CT平扫全颈椎,（颈椎）CT,,颈椎,颈椎,CT,,
CT平扫(单部位),CT,,任一,,CT,,
CT平扫(右膝关节),（右膝关节）CT,,膝关节,右膝关节,CT,,
CT扫描(副鼻窦),（副鼻窦）CT,耳鼻喉,鼻,副鼻窦,CT,,
CT扫描(右膝关节),（右膝关节）CT,,膝关节,右膝关节,CT,,
CT扫描(咽喉),（咽喉）CT,耳鼻喉,咽喉,咽喉,CT,,
CT扫描(左肩)不含片,（左肩）CT,,肩关节,左肩,CT,,
CT扫描(左膝关节),（左膝关节）CT,,膝关节,左膝关节,CT,,
CT扫描(腰椎间盘),（腰椎）CT,腰部,腰椎间盘,腰椎,CT,,
CT扫描(颈椎间盘),（颈椎）CT,颈椎,椎间盘,颈椎,CT,,
CT扫描(颈椎),（颈椎）CT,,颈椎,颈椎,CT,,
CT扫描(骨盆),（骨盆）CT,骨盆,,骨盆,CT,,
CT扫描(鼻咽),（鼻|咽）CT,耳鼻喉,鼻咽,鼻|咽,CT,,
CT换经颅多普勒,（颅脑）TCD,,,颅脑,TCD,,
CT某部位(不出片),CT,,任一,,CT,,
CT检查,CT,,,,CT,,
CT检查(单部位)1-不出片,CT,,任一,,CT,,
CT检查(单部位)3-不出片,CT,,任一,,CT,,
CT检查(单部位)-出片,CT,,任一,,CT,,
CT检查(腰部)-不出片,（腰）CT,腰部,,腰,CT,,
CT检查(颈部)-不出片,（颈部）CT,颈部,,颈部,CT,,
CT检查(双肾)(无胶片),（肾）CT,腹部,肾,肾,CT,,
CT检查(双膝)不出片,（膝）CT,,膝关节,膝,CT,,
CT检查(右肩关节),（右肩关节）CT,,肩关节,右肩关节,CT,,
CT检查(右肩关节)(无胶片),（右肩关节）CT,,肩关节,右肩关节,CT,,
CT检查(右腕关节)(无胶片),（右腕关节）CT,,腕关节,右腕关节,CT,,
